method,full_graph,gpu,experiment,stage,mask_size,mask_fraction,mse,mae,mdae,rmse,time,inference_time
linear,True,False,random,train,0.01,nan,0.0034801913425326347,0.032574255019426346,nan,0.0589931458234787,1.7894737720489502,
linear,True,False,random,train,0.02,nan,0.0034878894221037626,0.032503776252269745,nan,0.059058357030153275,1.543189525604248,
linear,True,False,random,train,0.05,nan,0.0035488163121044636,0.03270843252539635,nan,0.059571944177150726,1.7212767601013184,
linear,True,False,random,train,0.1,nan,0.0036766340490430593,0.03331367298960686,nan,0.06063525378704071,1.5197515487670898,
linear,True,False,random,val,0.01,nan,0.0015214182203635573,0.02000289037823677,nan,0.03900536149740219,0.26654648780822754,
linear,True,False,random,val,0.02,nan,0.001543801510706544,0.020479874685406685,nan,0.03929124027490616,0.23034191131591797,
linear,True,False,random,val,0.05,nan,0.0015615444863215089,0.02075336128473282,nan,0.039516381919384,0.27513623237609863,
linear,True,False,random,val,0.1,nan,0.00161871372256428,0.021179988980293274,nan,0.04023324325680733,0.33345770835876465,
linear,True,False,random,test,0.01,nan,0.000947149412240833,0.013397767208516598,nan,0.03077579289674759,0.12517404556274414,
linear,True,False,random,test,0.02,nan,0.0009226322290487587,0.013566086068749428,nan,0.030374862253665924,0.12034893035888672,
linear,True,False,random,test,0.05,nan,0.0009254788747057319,0.013768134638667107,nan,0.030421683564782143,0.14606118202209473,
linear,True,False,random,test,0.1,nan,0.0009640399948693812,0.013977100141346455,nan,0.03104899264872074,0.13488292694091797,
linear,True,False,blackout,train,30,0.01,0.005712533835321665,0.04264602065086365,nan,0.07558130472898483,1.4627208709716797,
linear,True,False,blackout,train,60,0.01,0.009125585667788982,0.05450702831149101,nan,0.09552793204784393,1.5304770469665527,
linear,True,False,blackout,train,150,0.01,0.015618128702044487,0.0759606659412384,nan,0.12497251480817795,1.3586702346801758,
linear,True,False,blackout,train,300,0.01,0.02566596120595932,0.1015004962682724,nan,0.16020599007606506,1.5022873878479004,
linear,True,False,blackout,val,30,0.01,0.0027670827694237232,0.02881596051156521,nan,0.05260306969285011,0.25208449363708496,
linear,True,False,blackout,val,60,0.01,0.004262839909642935,0.03674185648560524,nan,0.0652904286980629,0.3080027103424072,
linear,True,False,blackout,val,150,0.01,0.009113645181059837,0.0539199523627758,nan,0.09546541422605515,0.2763824462890625,
linear,True,False,blackout,val,300,0.01,0.012975115329027176,0.06933269649744034,nan,0.11390836536884308,0.2805459499359131,
linear,True,False,blackout,test,30,0.01,0.0016227371525019407,0.019373267889022827,nan,0.0402832105755806,0.1996135711669922,
linear,True,False,blackout,test,60,0.01,0.0022367818746715784,0.023983635008335114,nan,0.047294627875089645,0.13499045372009277,
linear,True,False,blackout,test,150,0.01,0.0037197114434093237,0.03114921972155571,nan,0.06098943576216698,0.12600111961364746,
linear,True,False,blackout,test,300,0.01,0.006233852822333574,0.04420464113354683,nan,0.07895474880933762,0.12849712371826172,
linear,True,False,maintenance,train,1,0.01,0.05824809893965721,0.16786019504070282,nan,0.24134643375873566,1.623286247253418,
linear,True,False,maintenance,train,2,0.01,0.07916086167097092,0.2037838250398636,nan,0.2813554108142853,1.5149908065795898,
linear,True,False,maintenance,train,7,0.01,0.1163896769285202,0.25379475951194763,nan,0.34115931391716003,1.3850679397583008,
linear,True,False,maintenance,train,14,0.01,0.08550097793340683,0.21743382513523102,nan,0.29240551590919495,1.4765796661376953,
linear,True,False,maintenance,val,1,0.01,0.03734096139669418,0.13718175888061523,nan,0.19323809444904327,0.22762608528137207,
linear,True,False,maintenance,val,2,0.01,0.07593579590320587,0.19904184341430664,nan,0.2755644917488098,0.2936210632324219,
linear,True,False,maintenance,val,7,0.01,0.11831554025411606,0.24980565905570984,nan,0.34397026896476746,0.2834615707397461,
linear,True,False,maintenance,val,14,0.01,0.1582590490579605,0.3136672079563141,nan,0.39781785011291504,0.31395792961120605,
linear,True,False,maintenance,test,1,0.01,0.03244871273636818,0.1102098673582077,nan,0.18013526499271393,0.12949633598327637,
linear,True,False,maintenance,test,2,0.01,0.0633120909333229,0.14634612202644348,nan,0.2516189515590668,0.1242074966430664,
linear,True,False,maintenance,test,7,0.01,0.03586016967892647,0.10308724641799927,nan,0.18936781585216522,0.11814546585083008,
linear,True,False,maintenance,test,14,0.01,0.04310127720236778,0.14805868268013,nan,0.20760847628116608,0.13931727409362793,
knn,True,False,random,train,0.01,nan,0.008552166633307934,0.0451088547706604,nan,0.09247792512178421,23.46452569961548,
knn,True,False,random,train,0.02,nan,0.008376258425414562,0.0447993203997612,nan,0.09152190387248993,40.92345333099365,
knn,True,False,random,train,0.05,nan,0.00828421488404274,0.0447966568171978,nan,0.09101766347885132,93.7574508190155,
knn,True,False,random,train,0.1,nan,0.008316470310091972,0.04508782550692558,nan,0.09119468182325363,178.35557913780212,
knn,True,False,random,val,0.01,nan,0.006976909935474396,0.03965092450380325,nan,0.08352790027856827,7.359233140945435,
knn,True,False,random,val,0.02,nan,0.006970355752855539,0.04011167958378792,nan,0.08348865807056427,12.503087997436523,
knn,True,False,random,val,0.05,nan,0.0066682216711342335,0.03964371979236603,nan,0.08165918290615082,27.34220862388611,
knn,True,False,random,val,0.1,nan,0.006601165048778057,0.03954019024968147,nan,0.08124755322933197,51.36359786987305,
knn,True,False,random,test,0.01,nan,0.004057318903505802,0.027184702455997467,nan,0.06369708478450775,2.972397804260254,
knn,True,False,random,test,0.02,nan,0.0038300438318401575,0.02720269188284874,nan,0.06188734620809555,5.508037090301514,
knn,True,False,random,test,0.05,nan,0.00399037403985858,0.027419058606028557,nan,0.06316940486431122,12.99774956703186,
knn,True,False,random,test,0.1,nan,0.003782613668590784,0.027126494795084,nan,0.061502955853939056,24.983619928359985,
knn,True,False,blackout,train,30,0.01,0.007808317895978689,0.04391363263130188,nan,0.08836469054222107,23.45202398300171,
knn,True,False,blackout,train,60,0.01,0.007559914141893387,0.043392207473516464,nan,0.08694776892662048,23.500245809555054,
knn,True,False,blackout,train,150,0.01,0.00890881847590208,0.04636640101671219,nan,0.09438654035329819,23.55931568145752,
knn,True,False,blackout,train,300,0.01,0.00785677507519722,0.044721778482198715,nan,0.08863845467567444,24.956033945083618,
knn,True,False,blackout,val,30,0.01,0.00686305807903409,0.038821991533041,nan,0.08284357935190201,7.948244094848633,
knn,True,False,blackout,val,60,0.01,0.007697091903537512,0.04126465693116188,nan,0.08773307502269745,7.509190320968628,
knn,True,False,blackout,val,150,0.01,0.008234948851168156,0.042027413845062256,nan,0.09074661880731583,7.498984336853027,
knn,True,False,blackout,val,300,0.01,0.005792584270238876,0.03624972701072693,nan,0.07610902935266495,8.011218547821045,
knn,True,False,blackout,test,30,0.01,0.004484080709517002,0.028667908161878586,nan,0.06696327775716782,3.083961009979248,
knn,True,False,blackout,test,60,0.01,0.004140086472034454,0.029385730624198914,nan,0.06434350460767746,3.0020413398742676,
knn,True,False,blackout,test,150,0.01,0.0042747571133077145,0.028598805889487267,nan,0.06538162380456924,3.2297465801239014,
knn,True,False,blackout,test,300,0.01,0.0025640688836574554,0.024251913651823997,nan,0.05063663423061371,3.1260409355163574,
knn,True,False,maintenance,train,1,0.01,0.007152040489017963,0.045240070670843124,nan,0.08456973731517792,24.628334045410156,
knn,True,False,maintenance,train,2,0.01,0.00993603840470314,0.047705259174108505,nan,0.09967967867851257,24.007489681243896,
knn,True,False,maintenance,train,7,0.01,0.005995853804051876,0.041023313999176025,nan,0.07743290066719055,23.242685079574585,
knn,True,False,maintenance,train,14,0.01,0.007090313360095024,0.04262137785553932,nan,0.08420399576425552,23.42939782142639,
knn,True,False,maintenance,val,1,0.01,0.004227102734148502,0.036197565495967865,nan,0.06501617282629013,7.31433367729187,
knn,True,False,maintenance,val,2,0.01,0.004309969954192638,0.03640270233154297,nan,0.06565035879611969,7.338760137557983,
knn,True,False,maintenance,val,7,0.01,0.003894123714417219,0.0350886806845665,nan,0.062402915209531784,7.255992650985718,
knn,True,False,maintenance,val,14,0.01,0.004412506707012653,0.037889644503593445,nan,0.06642670184373856,6.674127817153931,
knn,True,False,maintenance,test,1,0.01,0.004961606580764055,0.029598405584692955,nan,0.0704386755824089,2.9326374530792236,
